Sample ID,Species,State,Project,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 1000 uL, use whole sample)",Amount of TE to add,Normalized (Letter for rack for yes),Library made,Note,Collector,Collector number,Locality,County,State,,Latitude,Longitude,Source,,,Verbatim latitude,Verbatim longitude
H57,Heuchera parvifolia,CO,genus,,2.07,2.06,2.065,2065,242.13,Vacuum centrifuge then add 25 uL,,2/6/20,,,,"Along Rock Creek Hills Road, Lost Park, CO, USA",,,,39.2869444,-105.52472,,,,,
H58:1,Heuchera hallii,CO,genus,,2.22,2.14,2.18,2180,229.36,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,58,"Scrabbleback Mtn, CO",,,,38.1711111,-104.81944,,,,"38°10'16""","-105°10'50"""
H58:2,Heuchera hallii,CO,genus,,5.94,5.91,5.925,5925,84.39,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,58,"Scrabbleback Mtn, CO",,,,38.1711111,-104.81944,,,,"38°10'16""","-105°10'50"""
H59:2,Heuchera americana var. hirsuticaulis,MO,genus,,9.8,9.46,9.63,9630,51.92,Vacuum centrifuge then add 25 uL,,2/6/20,,Folk,59,"Roadside woods off Hwy 19, Mark Twain NF, Shannon Co. MO, USA",,,,37.39023,-91.45272,,,,37.39023° N,91.45272° W
H60:1,Heuchera americana var. hirsuticaulis,MO,genus,,16.8,16,16.4,16400,30.49,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,36.86859,-91.32724,,,,36.86859°,91.32724°
H60:2,Heuchera americana var. hirsuticaulis,MO,genus,,4.46,4.42,4.44,4440,112.61,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,36.86859,-91.32724,,,,36.86859°,91.32724°
H60:3,Heuchera americana var. hirsuticaulis,MO,genus,,7.99,7.79,7.89,7890,63.37,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,36.86859,-91.32724,,,,36.86859°,91.32724°
H61:1,Heuchera americana var. hirsuticaulis,MO,genus,,17.9,18,17.95,17950,27.86,Vacuum centrifuge then add 25 uL,,2/6/20,Also did the Nick duplicate of this,,,,,,,36.94794,-90.99215,,,,36.94794°,90.99215°
H61:2,Heuchera americana var. hirsuticaulis,MO,genus,,7.99,7.93,7.96,7960,62.81,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,36.94794,-90.99215,,,,36.94794°,90.99215°
H61:3,Heuchera americana var. hirsuticaulis,MO,genus,,9.32,8.86,9.09,9090,55.01,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,36.94794,-90.99215,,,,36.94794°,90.99215°
H62:1,Heuchera americana var. hirsuticaulis,MO,genus,,7.29,7.08,7.185,7185,69.59,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.19118,89.63458,,,,,
