Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
A2-3,Heuchera americana var. americana,,AL,Yes,3.36,3.51,3.435,422.505,Use whole sample,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
A2-4,Heuchera americana var. americana,,AL,Yes,2.46,2.53,2.495,306.885,Use whole sample,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
A2-4,Heuchera americana var. americana,,AL,,6.53,6.12,6.325,777.975,79.0513834,Vacuum centrifuge then add 25 uL,,duplicate,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
A2-5,Heuchera americana var. americana,,AL,,7.2,7.01,7.105,873.915,70.37297678,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,33.3705556,-85.713056,,,"33°22'14"" N","85°42'47"" W"
A21-1,Heuchera richardsonii,,MN,,8.52,8.65,8.585,1055.955,58.24111823,Vacuum centrifuge then add 25 uL,,1/31/2020,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-10,Heuchera richardsonii,,MN,,14.8,14.5,14.65,1801.95,34.12969283,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-11,Heuchera richardsonii,,MN,,9.91,10.2,10.055,1236.765,49.72650423,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-2,Heuchera richardsonii,,MN,,7.57,7.46,7.515,924.345,66.53359947,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-3,Heuchera richardsonii,,MN,,4.69,4.84,4.765,586.095,104.9317943,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-4,Heuchera richardsonii,,MN,,3.94,4.05,3.995,491.385,Use whole sample,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-5,Heuchera richardsonii,,MN,,12.9,13,12.95,1592.85,38.61003861,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-6,Heuchera richardsonii,,MN,,3.92,3.99,3.955,486.465,Use whole sample,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-7,Heuchera richardsonii,,MN,,18.2,19,18.6,2287.8,26.88172043,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-8,Heuchera richardsonii,,MN,,20.3,21,20.65,2539.95,24.21307506,0.7869249395,A,2/1/20,,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A21-9,Heuchera richardsonii,,MN,,12.7,13,12.85,1580.55,38.91050584,Vacuum centrifuge then add 25 uL,E,,Fell in vaccume centrefuge ,,,,,,,,,47.7205556,-91.777778,,,"47°43'14"" N","91°46'40"" W"
A22-1,Heuchera glomerulata,,AZ,,38.9,38.8,38.85,4778.55,12.87001287,12.12998713,E,,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A22-2,Heuchera glomerulata,,AZ,,22.5,21.2,21.85,2687.55,22.88329519,2.116704805,E,,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A22-3,Heuchera glomerulata,,AZ,,20.5,19.3,19.9,2447.7,25.12562814,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A22-4,Heuchera glomerulata,,AZ,,37.7,36.8,37.25,4581.75,13.42281879,11.57718121,E,,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A22-5,Heuchera glomerulata,,AZ,,30.4,29.9,30.15,3708.45,16.58374793,8.416252073,A,2/1/20,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A22-6,Heuchera glomerulata,,AZ,,62.8,60.6,61.7,7589.1,8.103727715,16.89627229,x,,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A22-7,Heuchera glomerulata,,AZ,,71.4,71,71.2,8757.6,7.02247191,17.97752809,A,,,,,,,,,,,32.6499094,-109.81976,,,32.6499094° N,109.8197560° W
A23-1,Heuchera glomerulata,,AZ,,23.8,22.4,23.1,2841.3,21.64502165,3.354978355,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-2,Heuchera glomerulata,,AZ,,24.9,24.4,24.65,3031.95,20.28397566,4.716024341,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-3,Heuchera glomerulata,,AZ,,21,21.3,21.15,2601.45,23.64066194,1.359338061,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-4,Heuchera glomerulata,,AZ,,13.9,13.5,13.7,1685.1,36.49635036,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-5,Heuchera glomerulata,,AZ,,28.4,28.3,28.35,3487.05,17.6366843,7.363315697,B,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-6,Heuchera glomerulata,,AZ,,17.6,16.6,17.1,2103.3,29.23976608,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-7,Heuchera glomerulata,,AZ,,18.8,18.8,18.8,2312.4,26.59574468,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A23-8,Heuchera glomerulata,,AZ,,48,46.4,47.2,5805.6,10.59322034,14.40677966,E,,,,,,,,,,,32.632,-109.8145,,,32.6320° N,109.8145° W
A25-1,Heuchera sanguinea,,AZ,,12.1,12.2,12.15,1494.45,41.15226337,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-10,Heuchera sanguinea,,AZ,,7.49,7.42,7.455,916.965,67.06908115,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-2,Heuchera sanguinea,,AZ,,16.3,15,15.65,1924.95,31.94888179,Vacuum centrifuge then add 25 uL,F,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-3,Heuchera sanguinea,,AZ,,22.7,21.3,22,2706,22.72727273,2.272727273,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-4,Heuchera sanguinea,,AZ,,15.3,15,15.15,1863.45,33.00330033,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-5,Heuchera sanguinea,,AZ,,33.4,32.4,32.9,4046.7,15.19756839,9.802431611,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-6,Heuchera sanguinea,,AZ,,38.4,38,38.2,4698.6,13.08900524,11.91099476,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-7,Heuchera sanguinea,,AZ,Yes,14,14.7,14.35,1765.05,34.84320557,Vacuum centrifuge then add 25 uL,D,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-8,Heuchera sanguinea,,AZ,,16.7,15.7,16.2,1992.6,30.86419753,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A25-9,Heuchera sanguinea,,AZ,,23.5,21.7,22.6,2779.8,22.12389381,2.876106195,F,,,,,,,,,,,32.6318157,-109.81452,,,32.6318157° N,-109.8145241° W
A26-1,Heuchera sanguinea,,AZ,,17.7,16.5,17.1,2103.3,29.23976608,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-10,Heuchera sanguinea,,AZ,,12.1,11.9,12,1476,41.66666667,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-11,Heuchera sanguinea,,AZ,,10.9,10.3,10.6,1303.8,47.16981132,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-2,Heuchera sanguinea,,AZ,,12.3,11.1,11.7,1439.1,42.73504274,Vacuum centrifuge then add 25 uL,F,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-3,Heuchera sanguinea,,AZ,,29.7,28.8,29.25,3597.75,17.09401709,7.905982906,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
A26-4,Heuchera sanguinea,,AZ,,8.31,7.97,8.14,1001.22,61.42506143,Vacuum centrifuge then add 25 uL,E,,,,,,,,,,,32.6359861,-109.82353,,,"32°38'9.55"" N","109°49'24.72"" W"
